Date,Open,High,Low,Close,Volume,Change,Daily_Return,Range,Range_Pct,Body_Pct,Close_Direction,Gap_Pct,RV20,ATR14,ATR_Pct,SMA20,SMA50,SMA200,EMA9,EMA21,RSI14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Mid,BB_Lower,BB_Width_Pct,High20,Low20,Dist_SMA50_Pct,Volume_SMA20,Volume_Ratio
2024-02-27,2031.27,2039.22,2029.37,2030.38,5841.0,-0.89,-0.0379,9.85,0.4849,0.0438,0,0.0059,0.5264,15.6771,0.7721,2024.9535,2033.687,1967.3039,2025.6799,2024.8182,47.5341,-0.4008,-2.554,2.1532,2055.7453,2024.9535,1994.1617,3.0412,2063.81,1986.16,-0.1626,5608.9,1.0414
2024-02-28,2030.42,2036.44,2025.08,2034.96,5762.0,4.54,0.2256,11.36,0.5595,0.2236,1,0.002,0.5288,15.2707,0.7504,2024.786,2033.788,1967.6912,2027.5359,2025.7401,50.6434,0.4405,-1.9551,2.3957,2055.3071,2024.786,1994.2649,3.0147,2063.81,1986.16,0.0576,5623.15,1.0247
2024-02-29,2034.69,2049.69,2028.75,2043.72,5729.0,9.03,0.4305,20.94,1.0291,0.4438,1,-0.0133,0.503,15.7679,0.7715,2024.218,2033.7434,1968.2067,2030.7727,2027.3747,59.9322,1.7935,-1.2054,2.9989,2052.7214,2024.218,1995.7146,2.8162,2056.72,1986.16,0.4906,5642.95,1.0152
2024-03-01,2044.01,2087.68,2039.52,2083.77,5514.0,39.76,1.9597,48.16,2.3562,1.9452,1,0.0142,0.6412,18.2036,0.8736,2026.452,2034.3546,1968.8916,2041.3722,2032.5015,73.9127,6.028,0.2413,5.7867,2065.0718,2026.452,1987.8322,3.8116,2087.68,1986.16,2.429,5642.1,0.9773
2024-03-04,2083.1,2118.76,2079.74,2114.76,5497.0,31.66,1.4872,39.02,1.8732,1.5199,1,-0.0322,0.6812,18.3043,0.8655,2030.947,2035.542,1969.7492,2056.0497,2039.9796,94.4384,11.749,2.5428,9.2062,2086.1523,2030.947,1975.7417,5.4364,2118.76,1986.16,3.8917,5649.4,0.973
2024-03-05,2114.69,2135.92,2111.24,2127.9,5254.0,13.21,0.6213,24.68,1.1671,0.6247,1,-0.0033,0.6831,19.4157,0.9124,2035.5405,2036.7674,1970.5908,2070.4198,2047.9723,95.4847,17.1456,5.4634,11.6822,2105.7706,2035.5405,1965.3104,6.9004,2135.92,1986.16,4.4744,5633.55,0.9326
2024-03-06,2127.96,2150.1,2124.31,2148.22,5396.0,20.26,0.9549,25.79,1.212,0.9521,1,0.0028,0.6988,20.09,0.9352,2041.199,2038.1824,1971.5174,2085.9798,2057.0858,95.7157,22.7993,8.9305,13.8687,2127.6304,2041.199,1954.7676,8.4687,2150.1,1986.16,5.3988,5618.45,0.9604
2024-03-07,2148.19,2161.63,2145.06,2159.78,5336.0,11.59,0.5381,16.57,0.7713,0.5395,1,-0.0014,0.6964,19.9793,0.9251,2047.503,2040.068,1972.4282,2100.7399,2066.4216,95.7772,27.8911,12.7227,15.1685,2148.7528,2047.503,1946.2532,9.8901,2161.63,1986.16,5.868,5606.55,0.9517
2024-03-08,2159.79,2193.44,2154.74,2178.78,5293.0,18.99,0.8797,38.7,1.7918,0.8793,1,0.0005,0.6835,22.0621,1.0126,2055.223,2042.3848,1973.5815,2116.3479,2076.636,96.1335,33.0783,16.7938,16.2845,2171.482,2055.223,1938.964,11.3135,2193.44,1986.16,6.6782,5584.05,0.9479
2024-03-11,2186.66,2186.66,2176.84,2182.75,4653.0,-3.91,0.1822,9.82,0.4491,0.1788,0,0.3617,0.6715,21.6814,0.9933,2063.3555,2044.7228,1974.6863,2129.6283,2086.2827,96.0882,37.0821,20.8514,16.2306,2191.425,2063.3555,1935.286,12.4137,2193.44,1986.16,6.7504,5534.85,0.8407
2024-03-12,2182.74,2184.25,2152.51,2158.43,5384.0,-24.31,-1.1142,31.74,1.4541,1.1137,0,-0.0005,0.6418,23.2114,1.0754,2071.6275,2046.7106,1975.6622,2135.3887,2092.8416,84.0759,37.8563,24.2524,13.6039,2201.9129,2071.6275,1941.3421,12.5781,2193.44,1986.16,5.4585,5520.15,0.9753
2024-03-13,2158.38,2177.7,2156.56,2174.48,5479.0,16.1,0.7436,21.14,0.9794,0.7459,1,-0.0023,0.6372,23.755,1.0924,2080.746,2049.377,1976.834,2143.2069,2100.2632,85.7293,39.3118,27.2643,12.0475,2213.1095,2080.746,1948.3825,12.7227,2193.44,1990.62,6.1044,5508.8,0.9946
